id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,weekly_price,monthly_price,cleaning_fee,guests_included,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
6646843,f,98107,Apartment,Entire home/apt,4,1,1,2,,,$45.00 ,2,89,10,9,10,10,10,9
1364440,f,98107,Apartment,Private room,1,1,1,1,$274.00 ,,,1,100,10,10,10,10,9,10
1781873,f,98107,Apartment,Entire home/apt,2,1,1,1,$559.00 ,"$1,974.00 ",,2,92,10,9,10,10,9,9
4138423,f,98107,House,Entire home/apt,4,1,1,1,,,$30.00 ,2,94,10,9,10,10,9,9
5562674,f,98107,House,Entire home/apt,4,1,2,2,,,$35.00 ,1,95,10,10,10,10,10,9
1789341,f,98107,House,Entire home/apt,2,1,1,1,$650.00 ,"$1,899.00 ",$85.00 ,2,99,10,10,10,10,10,10
4672934,t,98107,House,Entire home/apt,10,2.5,3,5,"$1,500.00 ",,$125.00 ,6,98,10,10,10,10,10,10
4550099,f,98107,House,Entire home/apt,6,3,3,3,,,$131.00 ,5,93,9,7,9,10,9,8
1198799,t,98107,House,Private room,2,1.5,1,1,$420.00 ,"$1,300.00 ",$20.00 ,0,98,10,10,10,10,10,10
5308429,t,98117,House,Private room,2,1,1,1,$400.00 ,"$1,500.00 ",,1,99,10,10,10,10,10,10
2769088,f,98107,House,Entire home/apt,4,1,2,2,$550.00 ,,,1,71,8,6,9,9,9,7
7603135,f,98107,House,Entire home/apt,4,1,2,2,"$1,100.00 ",,$45.00 ,1,95,10,10,9,10,10,10
9374365,f,98107,House,Private room,2,1.5,1,1,,,$7.00 ,2,97,10,10,10,10,10,10
6106498,f,98107,House,Private room,2,1,1,1,$390.00 ,,$15.00 ,1,97,10,10,10,10,9,10
9331449,f,98107,Townhouse,Private room,2,1.5,1,1,,,$8.00 ,2,90,10,8,10,10,10,9
8799162,f,98107,House,Private room,2,1,1,1,,,,1,,,,,,,
4317390,f,98107,House,Entire home/apt,8,1,2,6,,,$50.00 ,4,95,10,10,9,10,10,9
3884851,t,98107,Apartment,Private room,2,1,1,1,,,$5.00 ,1,96,10,10,10,10,10,10
3155785,f,98107,Apartment,Private room,1,2,1,1,$244.00 ,,$15.00 ,1,80,10,8,9,9,9,9
9368517,f,98107,House,Entire home/apt,4,2,3,3,"$1,200.00 ",,$60.00 ,1,,,,,,,
5643240,f,98107,Apartment,Entire home/apt,2,1,1,1,$400.00 ,"$1,100.00 ",$50.00 ,1,90,10,9,10,10,10,10
5042014,f,98107,House,Private room,1,1,1,1,$300.00 ,"$1,100.00 ",$20.00 ,1,97,10,10,10,10,10,10
7724630,f,98107,Apartment,Private room,2,1,1,1,$400.00 ,,,1,100,8,8,10,10,10,8
9449437,f,98107,Townhouse,Entire home/apt,8,2.5,4,4,,,$50.00 ,8,,,,,,,
3053237,t,98107,House,Entire home/apt,2,1,1,1,"$1,065.00 ","$3,759.00 ",$50.00 ,1,99,10,10,10,10,9,10
8132347,f,98107,House,Entire home/apt,8,2,2,4,"$1,250.00 ","$4,500.00 ",$85.00 ,5,,,,,,,
63733,f,98107,Apartment,Entire home/apt,2,1,1,1,,,,2,97,10,10,10,10,10,10
2039149,f,,House,Entire home/apt,10,2,3,3,,,$100.00 ,8,91,9,9,10,10,9,9
227636,t,98107,Apartment,Entire home/apt,3,1,1,2,$698.00 ,"$2,552.00 ",$55.00 ,2,97,10,10,10,10,9,10
3689119,t,98107,House,Entire home/apt,2,1,0,1,,,$30.00 ,1,98,10,10,10,10,10,10
1179538,f,98107,House,Private room,4,1.5,1,2,,,$15.00 ,4,100,10,10,10,10,8,8
